Copyright:  ZZ Resistivity Imaging Pty Ltd -------- www.zzgeo.com
Electrode checking results:
    
Format:  electrode no.;    Current_value;     Resistant value;       Good/Bad/Unused
 6             electrode checkings are completed
************ Electrode checking            1 
 1            Common electrode no.:        1 
 1             1            -1            -1               Unused
 1             2             0.06699479    537.3552        Good
 1             3             0.0740703     486.0247        Good
 1             4             0.04178646    861.5231        Good
 1             5             0.08008595    449.5171        Good
 1             6             0.07154427    503.185         Good
 1             7             0.06840365    526.2877        Good
 1             8             0.06057552    594.2994        Good
 1             9             0.06953907    517.6946        Good
 1             10            0.06550521    549.5746        Good
 1             11            0.05874478    612.8204        Good
 1             12            0.06327605    568.9357        Good
 1             13            0.06378385    564.4061        Good
 1             14            0.05805209    620.1328        Good
 1             15            0.06055209    594.5294        Good
 1             16            0.05359896    671.6549        Good
 1             17            0.03896353    923.9409        Good
 1             18            0.05932031    606.8748        Good
 1             19            0.05225521    688.9265        Good
 1             20            0.04517188    796.956         Good
 1             21            0.05782552    622.5624        Good
 1             22            0.0465625     773.1544        Good
 1             23            0.05223959    689.1326        Good
 1             24            0.05745052    626.6262        Good
 1             25            0.04806772    748.9434        Good
 1             26            0.04628386    777.809         Good
 1             27            0.05328386    675.6268        Good
 1             28            0.07082031    508.3288        Good
 1             29            0.06547917    549.7932        Good
 1             30            0.05714583    629.9672        Good
 1             31            0.05670833    634.8274        Good
 1             32            0.0491875     731.8932        Good
 1             33            0.04172396    862.8136        Good
 1             34            0.07864843    457.7332        Good
 1             35            0             99999          ********* BBBBad
 1             36            0             99999          ********* BBBBad
 1             37            0             99999          ********* BBBBad
 1             38            0             99999          ********* BBBBad
 1             39            0.07379948    487.8083        Good
 1             40            0             99999          ********* BBBBad
 1             41            0.04683073    768.726         Good
 1             42            0.05891666    611.0326        Good
 1             43            0.07518229    478.8362        Good
 1             44            0.06145833    585.7627        Good
 1             45            0.0728099     494.4382        Good
 1             46            0.07192707    500.507         Good
 1             47            0.0704401     511.0725        Good
 1             48            0.07596875    473.8791        Good
 1             49            0.07009375    513.5978        Good
 1             50            0.08358854    430.681         Good
 1             51            0.06483074    555.2922        Good
 1             52            0.06945834    518.2963        Good
 1             53            0.0696875     516.5919        Good
 1             54            0.07801563    461.446         Good
 1             55            0.07084636    508.1419        Good
 1             56            0.03635156    990.3289        Good
 1             57            0             99999          ********* BBBBad
 1             58            0             99999          ********* BBBBad
 1             59            0             99999          ********* BBBBad
 1             60            0.06117187    588.5057        Good
 1             61            0.05620313    640.5338        Good
 1             62            0.05216146    690.1647        Good
 1             63            0             99999          ********* BBBBad
 1             64            0.05576562    645.559         Good
 1             65            0             99999          ********* BBBBad
 1             66            0             99999          ********* BBBBad
 1             67            0             99999          ********* BBBBad
