Latitude,Longitude,Distance,Elevation
6.7997777778,-72.8512777778,0,1509.78173828125
6.799801862383199,-72.85126528949723,3,1510.302124023438
6.799825946966398,-72.85125280119448,6,1510.832885742188
6.799850031549597,-72.85124031289172,9,1511.373779296875
6.799874116132796,-72.85122782458897,12,1511.723754882812
6.799898200715995,-72.85121533628622,15,1512.0751953125
6.799922285299194,-72.85120284798346,18,1512.431762695312
6.7999463698823925,-72.8511903596807,21,1512.793334960938
6.7999704544655915,-72.85117787137794,24,1513.16015625
6.79999453904879,-72.85116538307518,27,1513.531982421875
6.800018623631989,-72.85115289477243,30,1513.908935546875
6.800042708215188,-72.85114040646968,33,1514.291015625
6.800066792798387,-72.85112791816692,36,1514.67822265625
6.800090877381586,-72.85111542986417,39,1515.070434570312
6.800114961964785,-72.85110294156141,42,1515.467895507812
6.800139046547984,-72.85109045325865,45,1515.870361328125
6.800163131131183,-72.85107796495589,48,1516.277954101562
6.800187215714382,-72.85106547665313,51,1516.690673828125
6.800211300297581,-72.85105298835038,54,1517.1083984375
6.8002353848807795,-72.85104050004763,57,1517.531372070312
6.800259469463978,-72.85102801174487,60,1517.96044921875
6.800283554047177,-72.85101552344211,63,1518.425170898438
6.800307638630376,-72.85100303513936,66,1518.892333984375
6.800331723213575,-72.8509905468366,69,1519.362182617188
6.800355807796774,-72.85097805853384,72,1519.83447265625
6.800379892379973,-72.85096557023108,75,1520.309326171875
6.800403976963172,-72.85095308192834,78,1520.786865234375
6.800428061546371,-72.85094059362558,81,1521.266845703125
6.80045214612957,-72.85092810532282,84,1521.749389648438
6.800476230712769,-72.85091561702006,87,1522.234497070312
6.8005003152959675,-72.8509031287173,90,1522.722045898438
6.8005243998791665,-72.85089064041455,93,1523.212280273438
6.800548484462365,-72.85087815211179,96,1523.681274414062
6.800572569045564,-72.85086566380905,99,1524.124267578125
6.800596653628763,-72.85085317550629,102,1524.567260742188
6.800620738211962,-72.85084068720353,105,1525.01025390625
6.800644822795161,-72.85082819890077,108,1525.453247070312
6.80066890737836,-72.85081571059801,111,1525.896240234375
6.800692991961559,-72.85080322229526,114,1526.339233398438
6.800717076544758,-72.8507907339925,117,1526.7822265625
6.800741161127957,-72.85077824568974,120,1527.225219726562
6.800765245711156,-72.850765757387,123,1527.668212890625
6.8007893302943545,-72.85075326908424,126,1528.111206054688
6.800813414877553,-72.85074078078148,129,1528.55419921875
6.800837499460752,-72.85072829247872,132,1528.997192382812
6.800861584043951,-72.85071580417596,135,1529.440185546875
6.80088566862715,-72.8507033158732,138,1529.883178710938
6.800909753210349,-72.85069082757045,141,1530.326171875
6.800933837793548,-72.8506783392677,144,1530.769165039062
6.800957922376747,-72.85066585096494,147,1531.212158203125
6.800982006959946,-72.85065336266219,150,1531.655151367188
6.801006091543145,-72.85064087435943,153,1532.09814453125
6.801030176126344,-72.85062838605667,156,1532.541137695312
6.8010542607095426,-72.85061589775391,159,1532.984130859375
6.8010783452927415,-72.85060340945115,162,1533.427124023438
6.80110242987594,-72.85059092114841,165,1533.8701171875
6.801126514459139,-72.85057843284565,168,1534.313110351562
6.801150599042338,-72.8505659445429,171,1534.756103515625
6.801174683625537,-72.85055345624014,174,1535.199096679688
6.801198768208736,-72.85054096793738,177,1535.64208984375
6.801222852791935,-72.85052847963462,180,1536.085083007812
6.801246937375134,-72.85051599133186,183,1536.561767578125
6.801271021958333,-72.8505035030291,186,1537.039916992188
6.801295106541532,-72.85049101472636,189,1537.517944335938
