Latitude,Longitude,Distance,Elevation
6.8061111111,-72.8525,0,1562.014038085938
6.806155445975238,-72.85249113302432,5,1562.830078125
6.806199780850474,-72.85248226604864,10,1563.63623046875
6.806244115725712,-72.85247339907295,15,1564.432373046875
6.80628845060095,-72.85246453209726,20,1565.218505859375
6.806332785476187,-72.85245566512158,25,1565.994506835938
6.806377120351424,-72.85244679814589,30,1566.760620117188
6.806421455226662,-72.8524379311702,35,1567.516723632812
6.806465790101899,-72.85242906419451,40,1568.262817382812
6.8065101249771365,-72.85242019721883,45,1568.998901367188
6.806554459852373,-72.85241133024314,50,1569.724975585938
6.806598794727611,-72.85240246326745,55,1570.441040039062
6.806643129602849,-72.85239359629178,60,1571.066772460938
6.8066874644780855,-72.85238472931609,65,1571.671997070312
6.806731799353323,-72.8523758623404,70,1572.101928710938
6.806776134228561,-72.85236699536472,75,1572.213623046875
6.806820469103798,-72.85235812838903,80,1572.335327148438
6.806864803979035,-72.85234926141334,85,1572.466918945312
6.806909138854273,-72.85234039443766,90,1572.608642578125
6.80695347372951,-72.85233152746197,95,1572.760375976562
6.806997808604748,-72.85232266048628,100,1572.921997070312
6.807042143479985,-72.8523137935106,105,1573.09375
6.807086478355222,-72.85230492653491,110,1573.275512695312
6.80713081323046,-72.85229605955922,115,1573.467163085938
6.8071751481056975,-72.85228719258353,120,1573.6689453125
6.807219482980934,-72.85227832560786,125,1573.880615234375
6.807263817856172,-72.85226945863216,130,1574.102294921875
6.807308152731409,-72.85226059165647,135,1574.334106445312
6.8073524876066465,-72.8522517246808,140,1574.575805664062
6.807396822481884,-72.85224285770511,145,1574.82763671875
6.807441157357121,-72.85223399072942,150,1574.979858398438
6.807485492232359,-72.85222512375374,155,1575.122436523438
