Latitude,Longitude,Distance,Elevation
6.791833333,-72.84752778,0,1461.690063
6.791855867,-72.84752598,2.5,1462.279419
6.791878402,-72.84752417,5,1462.868896
6.791900936,-72.84752237,7.5,1463.458252
6.79192347,-72.84752057,10,1464.047729
6.791946004,-72.84751876,12.5,1464.637085
6.791968538,-72.84751696,15,1465.226563
6.791991072,-72.84751516,17.5,1465.815918
6.792013606,-72.84751336,20,1466.405273
6.79203614,-72.84751155,22.5,1466.994751
6.792058675,-72.84750975,25,1467.584106
6.792081209,-72.84750795,27.5,1468.173584
6.792103743,-72.84750615,30,1468.762939
6.792126277,-72.84750434,32.5,1469.352295
6.792148811,-72.84750254,35,1469.941772
6.792171345,-72.84750074,37.5,1470.531128
6.792193879,-72.84749893,40,1471.120605
6.792216413,-72.84749713,42.5,1471.709961
6.792238948,-72.84749533,45,1472.299438
6.792261482,-72.84749353,47.5,1472.888794
6.792284016,-72.84749172,50,1473.478149
6.79230655,-72.84748992,52.5,1473.99353
6.792329084,-72.84748812,55,1474.401489
6.792351618,-72.84748632,57.5,1474.809937
6.792374152,-72.84748451,60,1475.218872
6.792396686,-72.84748271,62.5,1475.628418
6.792419221,-72.84748091,65,1476.038452
6.792441755,-72.8474791,67.5,1476.448975
6.792464289,-72.8474773,70,1476.860107
6.792486823,-72.8474755,72.5,1477.271606
6.792509357,-72.8474737,75,1477.683716
6.792531891,-72.84747189,77.5,1478.096313
6.792554425,-72.84747009,80,1478.509521
6.79257696,-72.84746829,82.5,1478.923096
6.79268963,-72.84745927,95,1480.999146
6.792734698,-72.84745567,100,1481.83313
6.792757233,-72.84745387,102.5,1482.250977
6.792779767,-72.84745206,105,1482.669189
6.792802301,-72.84745026,107.5,1483.088013
6.792824835,-72.84744846,110,1483.507324
6.792847369,-72.84744665,112.5,1483.927246
6.792869903,-72.84744485,115,1484.347534
6.792892437,-72.84744305,117.5,1484.768433
6.792914971,-72.84744125,120,1485.189819
6.792937506,-72.84743944,122.5,1485.611816
6.79296004,-72.84743764,125,1486.03418
6.792982574,-72.84743584,127.5,1486.457153
6.793005108,-72.84743404,130,1486.75769
6.793027642,-72.84743223,132.5,1487.050415
6.793050176,-72.84743043,135,1487.34375
6.79307271,-72.84742863,137.5,1487.637451
6.793162847,-72.84742142,147.5,1488.817627
6.793185381,-72.84741961,150,1489.113892
6.793207915,-72.84741781,152.5,1489.410767
6.793252983,-72.84741421,157.5,1490.006104
